number,Return_train,Sharpe_train,Drawdown_train,Return_test,Sharpe_test,Drawdown_test,params_adding_allocation,params_correlation_threshold,params_estimation_window,params_first_allocation,params_max_clusters,params_min_trading_days,params_tier,params_top_stocks
0,-0.12953426988935823,-1.3651184248159756,0.3443292225019009,0.06252030542701004,0.12654271371388628,0.08068958843465879,0.3,0.3,50,0.7,10,0.8,1,6
1,-0.11910663142865441,-1.539342407887224,0.33320267657393976,0.08251743821493451,0.36575920145136265,0.07354306481429584,0.3,0.3,70,0.4,10,0.5,2,9
2,-0.0907366244938016,-1.3763749932083345,0.2766440640824801,-0.026871313236205174,-0.7630341184188052,0.1162273401777989,0.2,0.3,60,0.7,10,0.5,2,3
3,-0.05597903032148388,-1.0804579146231423,0.18453112995256327,-0.002482417235097234,-0.49269369257794554,0.11230385269526844,0.3,0.3,60,0.7,8,0.65,2,6
4,-0.11383130287845689,-1.876427396329575,0.2929139315133279,0.13679293592055664,0.9106665804581876,0.07266258408428261,0.2,0.3,50,0.7,10,0.5,1,6
5,-0.09532471227693917,-1.3506939867893342,0.28444941572355564,0.10331473330230545,0.5814292730042774,0.061844851015517954,0.3,0.3,70,0.7,10,0.5,1,6
6,-0.08177473507808497,-1.4249819100673113,0.2741272974731457,-0.0005425303014866545,-0.5187027371342285,0.10248055739848438,0.3,0.3,60,0.4,8,0.8,2,3
7,-0.07756373790165638,-1.3181297730289605,0.21778139671089303,0.11984497514265824,0.9261440398236223,0.06641258964607033,0.2,0.6,50,0.7,10,0.5,2,3
8,-0.12134677977103192,-1.573580612171244,0.36301630140733476,-0.043911033809185485,-1.4290162082746378,0.09344235468143913,0.3,0.6,40,0.4,10,0.8,2,9
9,-0.06446574389590798,-1.143843031028867,0.25077636562784467,0.11683767101373577,0.6990081472392095,0.07542775224195708,0.2,0.3,70,0.7,8,0.5,1,3
10,-0.13560315447524052,-1.3645266496596455,0.35160125111719753,0.10101352522680629,0.5871967503130969,0.07411973098577873,0.3,0.6,80,0.55,8,0.65,2,6
11,-0.11882093039742547,-1.25315811636384,0.3864350285218269,0.05116487923636548,0.012038971881322339,0.08783072362206279,0.3,0.3,70,0.55,8,0.65,2,9
12,-0.10035749305704367,-1.1065881869650454,0.32629986323024895,0.13583002099246788,0.9663967735406958,0.08003945144711422,0.2,0.6,80,0.55,8,0.65,1,6
13,-0.11575336715665163,-1.6593953059640558,0.3006533840192742,-0.05670083371172119,-1.6038055228548043,0.09601766299366332,0.3,0.3,40,0.55,8,0.65,2,3
14,-0.07978572404455953,-1.194542406482844,0.2217649797174177,0.002293623664914257,-0.4210746169769261,0.10573152324275525,0.3,0.3,60,0.7,8,0.65,2,9
15,-0.0939549085316852,-1.2507939324732003,0.3210889913259287,0.09319592899286944,0.4253202504200273,0.06865713980042099,0.2,0.6,70,0.55,8,0.8,1,6
16,-0.12775366341590966,-1.5148379787329145,0.32261779550115255,0.07574145314297454,0.3243895866729211,0.08253055188917047,0.3,0.3,50,0.7,8,0.65,2,3
17,-0.03234473072265465,-0.8930989968844457,0.16181337418385733,-0.01607786587726534,-0.6127090257893544,0.10745252716509912,0.3,0.3,60,0.4,8,0.8,2,9
18,-0.02432085287342234,-0.7980856119680648,0.1613107551303018,-0.01607786587726534,-0.6127090257893544,0.10745252716509912,0.3,0.6,60,0.4,8,0.8,2,9
19,-0.11924675713634147,-1.5527012058719611,0.36301630140733476,-0.04986213181297372,-1.5203417375184358,0.09340480820753183,0.3,0.6,40,0.4,8,0.8,2,9
